tipo,nome,municipio,uf,endereco,horario,latitude,longitude,regiao,fonte
Promotoria de Justiça,62ª Prourb,Manaus,AM,"Av. Coronel Teixeira, 7995 – Nova Esperança",08h-14h,-3.0909035934808497,-60.05450387527472,Capital,Planilha unidades enfrentamento AM
Promotoria de Justiça,63ª Prourb,Manaus,AM,"Av. Coronel Teixeira, 7995 – Nova Esperança",08h-14h,-3.0909035934808498,-60.05450387527473,Capital,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Alvarães,Alvarães,AM,"Av. Castelo Branco, S/N – Centro",08h-14h,-3.213124820894945,-64.80829914993609,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Amaturá,Amaturá,AM,"Praça São Cristóvão, S/N – Centro",08h-14h,-3.3608210132411034,-68.198271273255,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Anamã,Anamã,AM,"Rua Álvaro Maia, S/N – Centro",08h-14h,-3.5783007186863687,-61.405613542822394,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Anori,Anori,AM,"Av. 31 de Março, 344 – Centro",08h-14h,-3.745081160695615,-61.65915640453181,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Apuí,Apuí,AM,Av. 13 de Novembro – Praça dos 3 Poderes,08h-14h,-7.200292750003247,-59.88750195991075,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Atalaia Do Norte,Atalaia Do Norte,AM,"Estrada Augusto Luzeiro, 75 – Centro",08h-14h,-4.364784105520722,-70.19149451365406,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Autazes,Autazes,AM,"R. Cel Soares, 312 - Autazes",08h-14h,-3.5824045566681697,-59.129773433258876,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Barcelos,Barcelos,AM,"Rua Padre José Báusula, 222 – São Sebastião",08h-14h,-0.9712102881719473,-62.92813159714396,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Barreirinha,Barreirinha,AM,"Rua Coronel Domingos Dutra, nº 81 – Centro",08h-14h,-2.794247986978817,-57.07021085463828,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Benjamin Constant,Benjamin Constant,AM,"Rua Castelo Branco, nº 469 – Centro",08h-14h,-4.376058714479402,-70.02707248221556,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Beruri,Beruri,AM,"Av. Costa e Silva, nº 143 – Bairro São Francisco",08h-14h,-3.9049919278591476,-61.369364990395034,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Boa Vista Do Ramos,Boa Vista Do Ramos,AM,"R. Sete de Setembro, 384 - Boa Vista do Ramos",08h-14h,-2.9707484255369954,-57.58795666168047,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Boca Do Acre,Boca Do Acre,AM,"Tv. Plácido de Castro - Platô do Piquiá, Boca do Acre - AM, 69850-000",08h-14h,-8.772146639121447,-67.33343042340947,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Borba,Borba,AM,Tv. Rui Araújo - Centro,08h-14h,-4.39069137494791,-59.59399037582634,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Caapiranga,Caapiranga,AM,Fórum de Justiça – Centro,08h-14h,-3.3286048087414812,-61.21132898151208,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Canutama,Canutama,AM,Av. Getúlio Vargas – Centro,08h-14h,-6.534518427507773,-64.38527410719892,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Carauari,Carauari,AM,Av. Castelo Branco – Centro,08h-14h,-4.879106482043154,-66.89803692020025,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça Do Careiro,Careiro,AM,Av. Adail de Sá – Centro,08h-14h,-3.8206814314656383,-60.36725729163043,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Careiro Da Várzea,Careiro Da Várzea,AM,Rua 29 de Janeiro – Centro,08h-14h,-3.197424066546437,-59.825979192477796,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Coari,Coari,AM,Estrada do Aeroporto – Centro,08h-14h,-4.103258590091726,-63.15005149425252,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Codajás,Codajás,AM,"Av. Getúlio Vargas, 48 – Centro",08h-14h,-3.8429271805932808,-62.06295138693658,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Eirunepé,Eirunepé,AM,"Av. Getúlio Vargas, 130 – Centro",08h-14h,-6.6667378816167595,-69.86465446691435,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Envira,Envira,AM,"Rua 27 de Julho, S/N – São Francisco",08h-14h,-7.433168244017871,-70.02646988326997,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Fonte Boa,Fonte Boa,AM,Rua Francisco Pereira de Souza – Centro,08h-14h,-2.5176752534277558,-66.09515946843125,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Guajará,Guajará,AM,"Rua Leopoldo Carlos, S/N – Centro",08h-14h,-7.544163222984541,-72.5778650197869,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Humaitá,Humaitá,AM,"Rua 13 Novembro, S/N (antiga Praça da Bandeira) – Centro",08h-14h,-7.506329718275992,-63.021519450250516,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Ipixuna,Ipixuna,AM,"Rua Edmar Herculano, 361 – Centro",08h-14h,-7.049358628713042,-71.69223656293128,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Iranduba,Iranduba,AM,Av. Rio Madeira – Centro,08h-14h,-3.2802971262162193,-60.184322883372296,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Itacoatiara,Itacoatiara,AM,Av. Parque – Centro,08h-14h,-3.1458260580773016,-58.44661901027086,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Itamarati,Itamarati,AM,"Rua Boa Vista, nº 105 – Centro",08h-14h,-6.44181344273643,-68.24388394859268,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Itapiranga,Itapiranga,AM,"Av. Presidente Getúlio Vargas, nº 151 – Centro",08h-14h,-2.7496868527326757,-58.02190916257228,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Japurá,Japurá,AM,Av. Amâncio Barbosa – Centro,08h-14h,-1.8786560474617395,-66.99815541679715,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Juruá,Juruá,AM,"Rua Francisco de Paula, nº100 – Centro",08h-14h,-3.473141598259756,-66.06504774087324,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Jutaí,Jutaí,AM,"Rua Teotonílio Cavalcante, nº 59 – Centro",08h-14h,-2.7498219006185343,-66.77188056426272,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Lábrea,Lábrea,AM,"Praça Coronel Labre, 95 – Centro",08h-14h,-7.26209090944427,-64.80089840396981,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Manacapuru,Manacapuru,AM,"Rua Almirante Tamandaré, 1151 – Aparecida",08h-14h,-3.2927683386022357,-60.62608560720177,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Manaquiri,Manaquiri,AM,"Rua Abílio Cintra, 5 – Centro",08h-14h,-3.4292536281329227,-60.458096413674554,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Manicoré,Manicoré,AM,Travessa Pedro Tinoco – Centro,08h-14h,-5.813418687873418,-61.297629667340985,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Maraã,Maraã,AM,"Av. Castelo Branco, nº 30 – Centro",08h-14h,-1.860260277257052,-65.59147590874893,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Maués,Maués,AM,"Av. Getúlio Vargas, nº 214 – Centro",08h-14h,-3.397631719059829,-57.718671497870304,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Nhamundá,Nhamundá,AM,"Rua Furtado Belém, 4 – Centro",08h-14h,-2.1881666091884733,-56.712035646549516,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Nova Olinda Do Norte,Nova Olinda Do Norte,AM,"Rua Triunfo, nº 349 – Centro",08h-14h,-3.890590849524544,59.093156395099626,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Novo Airão,Novo Airão,AM,"Av. Antenor Carlos Frederico, 25 – Centro",08h-14h,-2.619656821974159,-60.94777054170785,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Novo Aripuanã,Novo Aripuanã,AM,"Av. 19 de Dezembro, 1068 – Centro",08h-14h,-5.122505584112615,-60.38435888632891,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Parintins,Parintins,AM,Estrada Macurany – João Novo,08h-14h,-2.641037619965695,-56.75125101428102,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Pauini,Pauini,AM,"Rua Castelo Branco, 247 – Cidade Baixa",08h-14h,-7.7153391928850015,-67.0019819578184,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Presidente Figueiredo,Presidente Figueiredo,AM,"Av. Padre Calleri, 88 – Tancredo Neves",08h-14h,-2.056616310974996,-60.02370812792221,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Rio Preto Da Eva,Rio Preto Da Eva,AM,Rua João Domingos de Monteiro – Centro,08h-14h,-2.6994501324485873,-59.701035752843346,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Santa Isabel Do Rio Negro,Santa Isabel Do Rio Negro,AM,Rua Beira Rio – Centro,08h-14h,-0.4154594638954346,-65.0214024471718,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Santo Antônio Do Içá,Santo Antônio Do Içá,AM,Rua Hugo Ribeiro – Santa Etelvina,08h-14h,-3.102229075366024,-67.95210626713984,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De São Gabriel Da Cachoeira,São Gabriel Da Cachoeira,AM,Av. 7 de Setembro – Praia,08h-14h,-0.13585306480448162,-67.08268333058246,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De São Paulo De Olivença,São Paulo De Olivença,AM,Praça São Paulo – Centro,08h-14h,-3.4627694762720673,-68.95015448114236,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De São Sebastião Do Uatumã,São Sebastião Do Uatumã,AM,Rua São Francisco – Taboca,08h-14h,-2.5720898695076677,-57.86439328339834,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Silves,Silves,AM,Estrada Sizenando Grana – Panorama,08h-14h,-2.83573858433683,-58.21709929863578,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Tabatinga,Tabatinga,AM,Av. da Amizade – Brilhante,08h-14h,-4.237569979757232,-69.93804648277514,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Tapauá,Tapauá,AM,"Av. Castelo Branco, 390 – Centro",08h-14h,-5.620769616407215,-63.18879564307551,Interior,Planilha unidades enfrentamento AM
